Métrica;Valor;Data de Referência;Fonte
Óbitos;6;13/11/2025;Defesa Civil Nacional
Feridos;800;13/11/2025;Defesa Civil Nacional
Desabrigados;28;13/11/2025;Defesa Civil Nacional
Desalojados;2.172;13/11/2025;Defesa Civil Nacional
Outros Afetados;9.000;13/11/2025;Defesa Civil Nacional
Total Afetados;12.006;13/11/2025;Defesa Civil Nacional
